No.,장소명,지역명,점포명,카테고리,주소,카테고리,,
157,충주호,충주시,미륵사,"절,사찰",충북 충주시 수안보면,체험관광,,
158,충주호,충주시,창룡사,"절,사찰",충북 충주시 직동,체험관광,,
159,충주호,충주시,천주교 수안보성당,천주교,충북 충주시 수안보면,체험관광,,
160,충주호,충주시,단호사,"절,사찰",충북 충주시 단월동,체험관광,,
161,충주호,충주시,대흥사,"절,사찰",충북 충주시 칠금동,체험관광,,
162,충주호,충주시,미륵세계사,"절,사찰",충북 충주시 수안보면,체험관광,,
163,충주호,충주시,대원사,"절,사찰",충북 충주시 지현동,체험관광,,
164,충주호,충주시,봉학사,"절,사찰",충북 충주시 중앙탑면,체험관광,,
165,충주호,충주시,엄정성라우렌시오성당,천주교,충북 충주시 엄정면,체험관광,,
166,충주호,충주시,백운암,"절,사찰",충북 충주시 엄정면,체험관광,,
167,충주호,충주시,고불선원,"절,사찰",충북 충주시 신니면,체험관광,,
168,충주호,충주시,용화사,"절,사찰",충북 충주시 주덕읍,체험관광,,
169,충주호,충주시,탄금대,"문화,유적",충북 충주시 칠금동,문화유적,,
170,충주호,충주시,충주미륵대원지,"문화,유적",충북 충주시 수안보면,문화유적,,
171,충주호,충주시,중원고구려비,국보,충북 충주시 중앙탑면,문화유적,,
172,충주호,충주시,충주탑평리칠층석탑,국보,충북 충주시 중앙탑면,문화유적,,
173,충주호,충주시,장미산성,국가유산,충북 충주시 중앙탑면,문화유적,,
174,충주호,충주시,임충민공충렬사,국가유산,충북 충주시 단월동,문화유적,,
175,충주호,충주시,충주향교,"문화,유적",충북 충주시 교현동,문화유적,,
176,충주호,충주시,청룡사지,"유적지,사적지",충북 충주시 소태면,문화유적,,
177,충주호,충주시,모현정,"문화,유적",충북 충주시 금가면,문화유적,,
178,충주호,충주시,충주루암리고분군,"릉,묘,총",충북 충주시 중앙탑면,문화유적,,
179,충주호,충주시,중원봉황리마애불상군,국가유산,충북 충주시 중앙탑면,문화유적,,
180,충주호,충주시,단군전,"문화,유적",충북 충주시 주덕읍,문화유적,,
181,충주호,충주시,하강서원,국가유산,충북 충주시 금가면,문화유적,,
182,충주호,충주시,충주청룡사지보각국사탑,기념물,충북 충주시 소태면,문화유적,,
183,충주호,충주시,미륵리석불입상,보물,충북 충주시 수안보면,문화유적,,
184,충주호,충주시,동락전승비,기념물,충북 충주시 신니면,문화유적,,
185,충주호,충주시,충주원평리삼층석탑,기념물,충북 충주시 신니면,문화유적,,
186,충주호,충주시,명성황후피난지,국가유산,충북 충주시 노은면,문화유적,,
187,충주호,충주시,충주 김생사지,"유적지,사적지",충북 충주시 금가면,문화유적,,
188,충주호,충주시,창동리마애불상,기념물,충북 충주시 중앙탑면,문화유적,,
189,충주호,충주시,구충주역 급수탑,기념물,충북 충주시 봉방동,문화유적,,
190,충주호,충주시,중원창동오층석탑,기념물,충북 충주시 중앙탑면,문화유적,,
191,충주호,충주시,단호사삼층석탑,기념물,충북 충주시 단월동,문화유적,,
192,충주호,충주시,충주정토사지법경대사탑비,기념물,충북 충주시 동량면,문화유적,,
193,충주호,충주시,중원창동마애불,국가유산,충북 충주시 중앙탑면,문화유적,,
194,충주호,충주시,충주누암리고분군,국가유산,충북 충주시 중앙탑면,문화유적,,
195,충주호,충주시,충무공이수일장군신도비,기념물,충북 충주시 금가면,문화유적,,
196,충주호,충주시,아론딸기,체험여행,충북 충주시 금가면,아이와함께,,
197,충주호,충주시,깊은산속옹달샘,체험여행,충북 충주시 노은면,아이와함께,,
198,충주호,충주시,슬로우파머,체험여행,충북 충주시 수안보면,아이와함께,,
199,충주호,충주시,새봄농원,체험여행,충북 충주시 수안보면,아이와함께,,
200,충주호,충주시,충주댐 벚꽃길,"관람,체험",충북 충주시 동량면,아이와함께,,
201,충주호,충주시,긴들체험마을,체험마을,충북 충주시 신니면,아이와함께,,
202,충주호,충주시,탄금호무지개길,지역명소,충북 충주시 중앙탑면,아이와함께,,
203,충주호,충주시,충주호크루즈,"유람선,관광선",충북 충주시 동량면,아이와함께,,
204,충주호,충주시,강배체험관,체험여행,충북 충주시 엄정면,아이와함께,,
205,충주호,충주시,월악산국립공원자연학습탐방로,"관람,체험",충북 충주시 수안보면,아이와함께,,
206,충주호,충주시,석종사,"절,사찰",충북 충주시 직동,아이와함께,,
207,충주호,충주시,진농원,체험여행,충북 충주시 주덕읍,아이와함께,,
208,충주호,충주시,사과나무이야기길,문화거리,충북 충주시 지현동,아이와함께,,
209,충주호,충주시,충주도자기마을,"거리,골목",충북 충주시 엄정면,아이와함께,,
210,충주호,충주시,충주재오개하니마을,체험마을,충북 충주시 살미면,아이와함께,,
211,충주호,충주시,더청담,한복대여,충북 충주시 금릉동,아이와함께,,
212,충주호,충주시,중앙탑의상실,한복대여,충북 충주시 중앙탑면,아이와함께,,
213,충주호,충주시,중앙탑자전거,자전거,충북 충주시 중앙탑면,아이와함께,,
214,충주호,충주시,봉은사,"절,사찰",충북 충주시 소태면,아이와함께,,
215,충주호,충주시,미륵사,"절,사찰",충북 충주시 수안보면,아이와함께,,
216,충주호,충주시,창룡사,"절,사찰",충북 충주시 직동,아이와함께,,
217,충주호,충주시,천주교 수안보성당,천주교,충북 충주시 수안보면,아이와함께,,
218,충주호,충주시,단호사,"절,사찰",충북 충주시 단월동,아이와함께,,
219,충주호,충주시,대흥사,"절,사찰",충북 충주시 칠금동,아이와함께,,
220,충주호,충주시,미륵세계사,"절,사찰",충북 충주시 수안보면,아이와함께,,
221,충주호,충주시,대원사,"절,사찰",충북 충주시 지현동,아이와함께,,
222,충주호,충주시,봉학사,"절,사찰",충북 충주시 중앙탑면,아이와함께,,
223,충주호,충주시,엄정성라우렌시오성당,천주교,충북 충주시 엄정면,아이와함께,,
224,충주호,충주시,백운암,"절,사찰",충북 충주시 엄정면,아이와함께,,
225,충주호,충주시,고불선원,"절,사찰",충북 충주시 신니면,아이와함께,,
226,충주호,충주시,용화사,"절,사찰",충북 충주시 주덕읍,아이와함께,,
227,충주호,충주시,계명산자연휴양림,"휴양림,산림욕장",충북 충주시 종민동,피크닉,,
228,충주호,충주시,봉황자연휴양림,"휴양림,산림욕장",충북 충주시 중앙탑면,피크닉,,
