"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-10-15","수원시 팔달구","6062391","2595890","198740","63037"
"2022-10-16","수원시 팔달구","5557025","2068677","357470","39797"
"2022-10-17","수원시 팔달구","2161443","1022152","26368","14374"
"2022-10-18","수원시 팔달구","2979705","1045722","23241","11473"
"2022-10-19","수원시 팔달구","3117314","1117015","31059","17517"
"2022-10-20","수원시 팔달구","2972939","1187385","27164","22402"
"2022-10-21","수원시 팔달구","4940108","1532441","47893","25073"
"2022-10-22","수원시 팔달구","6742965","2807623","134593","58499"
"2022-10-23","수원시 팔달구","5803745","2046554","237198","37457"
"2022-10-24","수원시 팔달구","2548164","937361","23028","18854"
"2022-10-25","수원시 팔달구","2620575","1040923","81354","19489"
"2022-10-26","수원시 팔달구","2760283","1120762","28859","33108"
"2022-10-27","수원시 팔달구","2852864","1197918","50627","28185"
"2022-10-28","수원시 팔달구","3730202","1561889","67773","27655"
"2022-10-29","수원시 팔달구","6142240","2795812","218526","65673"
"2022-10-30","수원시 팔달구","4873397","2060881","149189","42879"
"2022-10-31","수원시 팔달구","2655355","1013717","24796","20297"
"2022-11-01","수원시 팔달구","2583282","1018639","25689","13827"
"2022-11-02","수원시 팔달구","3043029","1083220","23799","21416"
"2022-11-03","수원시 팔달구","2640413","1070092","25413","16115"
"2022-11-04","수원시 팔달구","3531108","1363877","36928","24562"
"2022-11-05","수원시 팔달구","6335305","2470427","286492","67290"
"2022-11-06","수원시 팔달구","5081388","1859710","114589","49065"
"2022-11-07","수원시 팔달구","1879045","939562","22274","14814"
"2022-11-08","수원시 팔달구","2612217","985929","35827","22065"
"2022-11-09","수원시 팔달구","2878093","1038986","31484","41026"
"2022-11-10","수원시 팔달구","2698595","1092338","37320","20513"
"2022-11-11","수원시 팔달구","3960073","1446441","45822","45024"
"2022-11-12","수원시 팔달구","5793037","2384824","207750","43070"
"2022-11-13","수원시 팔달구","5243225","1834394","245320","55529"
"2022-11-14","수원시 팔달구","2600249","1008982","57236","15263"
"2022-11-15","수원시 팔달구","2445604","1003642","35795","12788"
"2022-11-16","수원시 팔달구","2840246","1063959","32013","27003"
"2022-11-17","수원시 팔달구","2988701","1141946","29641","26911"
"2022-11-18","수원시 팔달구","3644869","1432946","35039","51085"
"2022-11-19","수원시 팔달구","5955396","2499893","247798","87271"
"2022-11-20","수원시 팔달구","4861251","1908151","158884","59499"
"2022-11-21","수원시 팔달구","2375637","958383","37682","19112"
"2022-11-22","수원시 팔달구","2401266","942268","22448","14343"
"2022-11-23","수원시 팔달구","2581077","1021508","28816","18584"
"2022-11-24","수원시 팔달구","2680561","1069648","39474","36562"
"2022-11-25","수원시 팔달구","3619307","1469022","58872","31036"
"2022-11-26","수원시 팔달구","5652847","2432323","210060","54807"
"2022-11-27","수원시 팔달구","5037882","1937525","185248","65522"
"2022-11-28","수원시 팔달구","2298790","842055","35658","22253"
"2022-11-29","수원시 팔달구","2535027","973608","34935","14829"
"2022-11-30","수원시 팔달구","2812180","1010920","27724","24592"
"2022-12-01","수원시 팔달구","2815434","1051074","41919","21782"
"2022-12-02","수원시 팔달구","3802784","1337109","62749","59206"
"2022-12-03","수원시 팔달구","6098422","2365496","502857","53574"
"2022-12-04","수원시 팔달구","4757366","1751954","105159","43970"
"2022-12-05","수원시 팔달구","2479280","888227","41866","37383"
"2022-12-06","수원시 팔달구","2442043","956083","47529","19870"
"2022-12-07","수원시 팔달구","2700794","993221","28351","15676"
"2022-12-08","수원시 팔달구","2671687","1099402","36060","24084"
"2022-12-09","수원시 팔달구","3944224","1489335","43518","28277"
"2022-12-10","수원시 팔달구","6474658","2650564","251081","58343"
"2022-12-11","수원시 팔달구","4965309","1914943","130909","46538"
"2022-12-12","수원시 팔달구","2262306","950528","35212","34838"
"2022-12-13","수원시 팔달구","2466477","956736","20727","29656"
"2022-12-14","수원시 팔달구","2589966","976400","41967","31633"
"2022-12-15","수원시 팔달구","2629272","1115819","43137","28668"
"2022-12-16","수원시 팔달구","4324213","1489157","60509","42826"
"2022-12-17","수원시 팔달구","6436243","2567133","232600","119099"
"2022-12-18","수원시 팔달구","5527830","1819928","270286","86510"
"2022-12-19","수원시 팔달구","2589193","983731","48324","27928"
"2022-12-20","수원시 팔달구","2702304","1074616","35375","31826"
"2022-12-21","수원시 팔달구","2776770","1115573","45544","28374"
"2022-12-22","수원시 팔달구","3028258","1221964","37606","28429"
"2022-12-23","수원시 팔달구","4034601","1508370","70163","48215"
"2022-12-24","수원시 팔달구","6603109","2542747","223609","88757"
"2022-12-25","수원시 팔달구","5477501","2178849","122600","75306"
